X,Y,Z,T,M
161.83784,15.88551,38.98783,3827.02,0.13350593
19.82717,1.98418,-4.31168,3827.02,4.843195
296.18228,29.91866,-85.03854,3827.02,-1.0239874
257.11877,27.32005,331.1869,3827.02,-2.537115
164.76756,17.67728,-6.42097,3827.02,-0.01841344
158.18655,17.06987,40.60123,3827.02,0.40308645
109.90951,11.93585,206.45422,3827.02,-1.4678606
96.84912,10.65222,129.5181,3827.02,-0.32857418
180.59883,20.10071,6.15419,3827.02,-0.52818656
1.63874,0.1842,-7.29078,3827.02,3.451956
16.90162,1.94078,-16.24626,3827.02,2.0724554
17.43506,2.00814,-15.97244,3827.02,0.52347267
218.83403,25.28349,-74.53656,3827.02,-0.59265774
148.02684,17.27319,-0.12884,3827.02,0.2936126
184.33398,22.01703,-88.73527,3827.02,-0.57681865
123.92463,14.95094,35.85252,3827.02,0.87245363
139.89658,17.13286,-91.5533,3827.02,-1.2674152
152.86707,18.75256,54.58145,3827.02,0.3337571
142.03221,17.46918,46.20174,3827.02,-0.87589175
324.8581,40.19197,96.61996,3827.02,-1.6156619
57.55905,7.12509,56.78527,3827.02,0.63305354
35.50394,4.41184,6.43107,3827.02,3.247453
30.00683,3.73127,-11.20621,3827.02,3.8975089
96.83208,12.07836,-81.63475,3827.02,-0.10288727
73.50263,9.25828,-89.97542,3827.02,0.9274364
112.84761,14.32821,85.40768,3827.02,0.51477665
40.57338,5.317,-10.86054,3827.02,3.0163994
258.9159,34.13199,-18.06621,3827.02,-1.3696831
48.84767,6.45743,28.16357,3827.02,1.4300295
109.24306,14.54309,190.71135,3827.02,-0.7747207
50.16701,6.68877,-22.30913,3827.02,1.4559921
29.76453,3.97578,-33.60283,3827.02,2.4007864
96.36252,12.8848,-84.33248,3827.02,0.6321051
8.77338,1.19023,38.4094,3827.02,3.2016022
34.39456,4.74423,-39.66556,3827.02,1.1503366
86.74646,11.96764,201.58167,3827.02,-0.529943
118.23465,16.31532,79.2443,3827.02,0.09927712
19.28663,2.67132,-38.1445,3827.02,1.2014344
23.75862,3.29212,-47.00435,3827.02,0.91804606
72.16945,10.04221,96.13355,3827.02,0.18277265
62.48016,8.71762,88.5154,3827.02,-0.44106087
79.50972,11.31446,9.79754,3827.02,1.1500924
73.16435,10.47472,27.33211,3827.02,0.8973081
20.859,2.99931,-41.41519,3827.02,1.7342113
125.41402,18.08258,68.1704,3827.02,0.46992403
570.053,82.65318,1127.1714,3827.02,-6.3418646
65.56015,9.55602,94.25119,3827.02,0.62259865
52.1731,7.63914,152.97983,3827.02,0.36494237
47.78488,7.0109,-142.40918,3827.02,0.22410823
131.17023,19.41886,-75.19931,3827.02,-0.3654808
29.32637,4.34764,-20.75961,3827.02,3.6169045
67.6423,10.23439,159.23633,3827.02,0.27587906
15.46573,2.34313,-20.29218,3827.02,3.5269928
117.98998,18.12006,28.37546,3827.02,0.945788
20.75893,3.21773,-1.31897,3827.02,3.5839252
54.97818,8.59604,-0.49091,3827.02,2.2127404
44.19277,6.91156,-63.4599,3827.02,1.5895793
23.94157,3.75831,-26.91606,3827.02,2.715332
36.1647,5.71412,8.59264,3827.02,3.4435916
135.7211,21.52844,-36.75135,3827.02,0.6847766
45.23652,7.18803,-19.29396,3827.02,2.5781398
89.63434,14.25206,125.69637,3827.02,-0.87220144
503.92905,80.84197,895.73004,3827.02,-4.2861414
82.2354,13.25536,-179.6482,3827.02,-0.05354311
141.69553,22.9335,140.99924,3827.02,-1.378218
249.9913,40.47691,68.95644,3827.02,-1.2053751
165.1952,26.81544,111.69525,3827.02,-2.1782181
106.51818,17.3338,147.9777,3827.02,-2.6240368
92.46042,15.10784,41.73987,3827.02,1.1250231
83.87091,13.77306,-118.69165,3827.02,0.5784529
13.91734,2.28714,-6.50718,3827.02,4.6137547
252.141,41.4634,181.59065,3827.02,-2.0310466
174.36479,28.79345,9.68096,3827.02,0.19024225
44.44943,7.54964,25.31389,3827.02,0.77228236
199.67725,34.14261,-94.92665,3827.02,-0.31846237
261.995,45.21293,309.69604,3827.02,-2.6041696
26.2754,4.5535,15.93539,3827.02,0.8086049
10.19974,1.76951,4.02599,3827.02,5.651936
4.15744,0.72925,32.03328,3827.02,3.8333032
65.01465,11.42442,-65.54314,3827.02,1.1570423
115.45606,20.31953,46.03317,3827.02,-0.14089748
12.74388,2.27065,-21.93673,3827.02,3.8597515
145.65189,25.99435,-43.87238,3827.02,0.54787505
38.03802,6.79383,58.46152,3827.02,-1.9878801
25.71829,4.59734,-11.5251,3827.02,3.8615806
173.39755,31.126,-13.40641,3827.02,-0.33591783
80.22062,14.5496,67.10891,3827.02,0.1817499
51.73197,9.43073,-54.61483,3827.02,0.19122398
126.6418,23.24288,59.0286,3827.02,0.3040235
35.49861,6.5427,-54.5389,3827.02,1.6420374
61.35676,11.38766,141.14047,3827.02,-0.11212497
212.66264,39.47682,262.5047,3827.02,-2.8582633
16.59577,3.11118,-36.99595,3827.02,2.3337927
158.8229,29.8067,266.33737,3827.02,-1.2874749
35.50199,6.69116,-63.2417,3827.02,1.6783527
101.91319,19.21747,-82.38616,3827.02,0.43973476
38.92764,7.45297,-62.12566,3827.02,0.022899238
35.78083,6.86896,39.10459,3827.02,1.3103689
27.43768,5.28206,-9.07156,3827.02,-0.30005226
51.18711,9.91148,-11.093,3827.02,2.3761642
62.07792,12.12016,-11.84751,3827.02,0.72725505
87.77751,17.14116,-70.94159,3827.02,0.6125205
153.45493,30.13245,172.85641,3827.02,-1.1777135
38.1075,7.49804,-74.59979,3827.02,1.4359093
181.33417,35.84349,207.3491,3827.02,-2.7384875
25.32104,5.00688,-10.43176,3827.02,2.9966817
48.04118,9.54553,-45.16028,3827.02,1.8219035
26.27589,5.22604,-36.49081,3827.02,2.8709786
60.27013,12.06688,88.50887,3827.02,0.24773988
333.53018,66.95126,-27.54532,3827.02,-1.515662
30.44624,6.12223,-7.10146,3827.02,3.6339567
22.58874,4.56,85.93168,3827.02,0.89383155
82.61794,16.69434,-24.84593,3827.02,1.7507113
9.8851,2.00024,-11.02648,3827.02,4.9277797
96.32081,19.67547,97.83572,3827.02,0.3196763
